358.11,90.403,-0.098441,10.724,-0.05509,6.1822,0.00024879,3.2953
384.55,138.07,0.0084645,7.2187,-0.02742,4.2911,-2.0943e-05,1.0513
334.19,143.3,0.0098451,12.476,-0.0053616,6.4279,9.5009e-05,2.7582
363.7,138.16,0.0018994,6.8853,-0.090796,4.1489,1.5188e-07,1.4008
325.12,153.6,-0.076256,10.935,-0.13546,8.1667,-0.00025535,3.094
363.3,145.91,-8.5089e-06,6.1853,-0.064303,3.6818,-7.5718e-06,0.75614
414.7,94.932,-0.018984,7.9385,-0.063,4.554,9.5508e-05,1.1984
383.28,118.9,-0.032075,8.9161,-0.039422,5.2856,0.00016745,2.5959
419.07,89.282,-0.053066,7.9298,-0.095014,6.2222,0.00077416,2.482
404.33,85.511,0.057385,4.3956,-0.079988,3.3733,-9.2554e-06,0.67872
352.63,133.37,-0.014757,4.4759,-0.10725,2.8063,-5.2527e-06,0.4433
315.1,131.33,-0.12939,6.105,-0.19054,5.4429,-3.5766e-05,1.8213
418.79,78.04,-0.064843,7.2044,-0.049257,5.2882,0.00017871,2.1414
383.27,83.213,-0.08828,4.0488,-0.043819,3.3272,1.1177e-05,0.49095
368.6,126.81,0.0013823,6.1207,-0.056158,3.6921,4.6618e-07,0.86945
397,110.15,-0.041096,9.5725,-0.062647,5.96,-0.00049908,2.4482
409.21,113.19,0.0066057,8.5106,-0.054961,4.2777,-7.1911e-05,1.6356
401.45,126.63,-0.017082,10.063,0.040671,4.5792,0.00020359,1.5924
415.07,95.501,-0.026063,10.109,-0.062943,5.9477,0.00028646,2.2632
416.46,106.82,-0.016503,9.831,-0.01817,3.6007,-0.0013245,1.8811
333.4,125.12,0.1047,13.499,0.024438,7.7452,0.0071524,4.3169
339.94,127.71,-0.17344,13.338,-0.01055,8.1047,-0.0055111,4.4447
360.67,127.88,0.051936,8.6029,0.008587,6.9883,-0.0026484,3.5802
345.8,142.41,-0.00099332,4.2235,0.0047545,3.5102,-1.7514e-06,0.70766
409.95,113.57,0.014119,13.499,0.031624,6.3844,-0.0027407,2.9373
359.8,98.733,-0.071472,8.9155,-0.055263,5.1511,0.00052079,2.2366
398.85,100.89,0.015233,3.3013,-0.069737,2.6247,-2.102e-06,0.32953
382.51,111.46,-0.037973,4.7534,-0.10551,3.2047,-0.00025015,0.65777
324.09,147.74,0.0033648,9.6897,-0.1171,5.2244,-0.00064887,2.1118
391.99,118.89,0.001539,8.9163,-0.047564,4.9381,-1.0449e-05,1.5043
423.29,107.99,-0.0026508,5.6705,8.3845e-05,3.959,-1.4955e-06,0.92624
