3,19,15,15,2,19,6,6,5,19,5,19,5,19,5,19,3,13,20,7,3,13,16,4,23,8,1,4,5,8,17,21,9,11,25,21,3,18,10,12,23,18,16,12,2,24,17,21,9,5,25,25,5,14,25,25,3,14,15,20,2,14,22,22
3,6,20,15,21,6,22,15,3,6,5,19,2,6,5,19,3,13,20,7,21,8,4,23,21,8,1,23,2,17,5,9,3,11,20,7,21,11,10,18,21,11,16,12,2,11,24,9,3,14,3,25,3,14,22,25,21,14,22,25,2,14,22,22
3,5,3,15,3,5,6,15,17,5,6,15,21,5,19,15,3,13,22,7,20,23,6,4,20,23,1,4,2,8,24,11,17,9,6,7,17,9,18,10,21,12,18,16,2,12,24,11,21,21,21,25,21,14,19,25,21,14,22,25,3,14,22,22
14,6,15,15,14,6,15,19,5,6,19,19,5,6,22,19,13,20,15,7,3,8,4,23,3,8,1,23,5,17,24,9,11,17,15,9,13,18,10,12,14,18,16,12,2,5,24,24,11,21,15,15,14,21,22,7,14,25,22,7,2,25,22,7
11,19,15,15,6,19,15,5,19,19,5,5,19,19,19,5,11,13,7,20,3,4,16,23,24,8,1,1,19,17,9,9,11,19,11,7,25,18,10,12,25,18,16,12,24,2,9,1,19,21,11,19,19,21,22,22,25,14,22,7,19,14,22,22
14,14,15,15,14,14,15,5,6,14,19,5,6,14,19,5,13,7,20,16,3,4,1,23,3,4,1,8,14,17,15,9,11,3,20,10,13,18,10,12,13,18,16,12,14,2,22,24,21,14,15,25,21,21,22,25,14,14,22,25,14,14,22,22
3,6,15,15,2,6,19,5,6,6,19,5,6,6,17,5,3,13,20,7,25,13,4,23,2,16,1,8,6,6,17,9,6,11,6,11,25,11,10,18,25,16,4,12,2,16,22,24,6,21,6,6,6,21,6,21,25,14,20,20,6,14,22,22
6,5,15,15,6,5,15,15,6,5,19,19,5,5,6,19,14,13,7,20,3,8,4,23,3,8,1,17,6,11,9,9,5,6,7,7,14,10,7,18,14,10,16,12,3,2,24,20,5,21,6,25,5,21,25,25,5,21,22,25,5,6,22,22
3,11,15,6,21,19,15,6,11,19,5,5,11,19,11,11,13,7,20,7,4,8,23,12,24,8,1,17,11,9,5,6,13,14,25,25,21,18,10,10,4,2,16,12,24,8,2,2,21,21,25,25,21,14,25,25,21,14,14,25,9,14,22,22
15,21,15,15,6,5,19,5,6,5,19,5,6,21,19,5,20,7,13,13,3,4,23,8,6,17,1,8,6,17,19,9,11,6,13,25,21,18,10,16,12,2,24,16,12,2,22,9,11,14,15,25,21,14,22,25,21,14,22,25,12,14,22,22
3,19,15,15,3,6,15,5,21,6,15,5,8,19,15,5,3,20,13,7,23,4,10,7,23,4,1,9,8,17,22,9,3,11,13,9,21,18,10,24,14,12,16,24,2,12,22,7,3,25,15,22,21,25,22,22,14,25,22,22,3,25,22,22
3,19,15,15,6,19,15,5,6,19,5,5,19,19,19,5,3,13,7,20,3,8,4,23,6,8,1,23,17,11,9,9,19,19,7,22,19,18,10,12,14,2,16,12,24,2,9,9,19,19,19,22,19,21,25,25,19,21,22,25,19,19,22,22
3,15,3,13,6,15,19,5,6,15,19,5,6,15,22,13,3,20,7,7,6,20,4,23,6,17,1,8,17,17,9,11,3,6,7,11,17,10,18,12,17,2,16,12,6,2,22,24,3,21,22,25,6,21,22,25,6,14,22,25,6,14,22,22
3,19,15,6,3,19,5,6,14,19,5,6,22,19,9,9,13,7,20,24,4,7,23,17,14,8,1,17,22,11,9,9,3,22,20,25,4,10,18,12,14,2,16,12,22,2,9,24,3,21,15,25,14,21,15,25,14,21,9,25,22,21,9,25
3,21,15,15,3,21,15,6,21,21,19,5,21,21,19,19,20,7,13,13,2,4,16,23,2,4,1,8,21,17,19,9,11,21,19,25,20,18,13,10,20,18,16,24,2,12,22,1,11,21,19,25,21,14,19,25,21,14,22,25,21,14,22,22
3,21,15,6,3,13,15,6,21,3,19,5,21,21,19,20,13,7,15,10,12,4,23,17,12,8,1,17,21,9,19,11,13,14,22,25,21,7,10,18,12,7,10,16,12,2,24,24,21,14,19,25,21,14,25,25,21,14,22,25,21,14,22,22
13,5,15,15,3,5,19,19,21,6,19,19,21,6,19,19,13,7,20,20,3,7,4,23,3,7,1,8,17,21,11,9,13,2,20,9,18,16,10,12,18,16,1,12,17,2,24,2,21,21,15,25,21,14,22,25,21,14,22,25,21,14,22,22
3,6,15,15,25,6,19,5,6,6,19,5,6,6,11,5,3,13,15,7,25,13,4,23,25,13,1,8,12,17,11,9,17,2,15,9,3,2,18,10,25,2,24,16,12,17,22,9,17,21,17,20,3,21,15,20,25,14,22,20,12,14,22,22
3,6,15,15,6,6,19,5,6,6,19,5,6,6,6,5,3,13,20,7,25,4,16,23,6,17,1,8,6,17,24,9,6,11,6,11,25,11,10,18,25,2,16,12,6,2,24,9,6,21,6,6,6,21,6,21,6,14,20,20,6,14,22,22
3,5,3,15,3,5,6,15,3,5,6,15,14,5,19,5,3,13,24,7,20,13,1,4,23,13,1,8,2,14,19,9,17,11,22,7,17,11,10,18,14,16,10,12,2,16,24,7,17,21,22,25,14,21,22,25,14,21,22,25,14,3,22,22
3,13,3,15,3,13,22,19,6,13,22,19,5,6,22,22,3,7,24,20,6,7,23,4,6,17,1,8,5,17,24,9,3,11,22,10,6,11,10,18,14,16,10,12,2,16,24,20,3,21,3,25,14,21,22,25,14,21,22,25,5,5,22,22
3,5,15,15,3,6,15,15,19,6,9,9,19,5,19,5,3,13,7,20,3,8,4,23,2,8,1,23,19,17,9,11,19,3,7,25,14,18,10,12,14,18,16,12,2,19,22,24,19,21,15,25,19,21,22,25,19,21,22,25,19,19,22,22
3,17,15,15,3,5,15,6,19,5,5,5,19,19,11,5,20,7,13,13,3,4,16,23,12,2,1,8,19,17,11,9,19,19,21,9,25,7,18,10,25,7,16,24,12,2,11,6,19,19,21,21,19,19,21,21,25,14,22,13,25,14,22,22
3,19,15,15,3,19,15,5,6,19,5,5,14,19,22,19,3,13,7,20,3,4,10,23,6,4,1,8,6,19,17,9,11,11,7,9,14,18,10,16,3,18,24,16,12,2,22,20,11,21,15,25,14,21,25,25,14,21,22,25,14,21,22,22
3,5,3,15,3,5,6,15,5,5,6,6,5,5,19,19,3,5,13,7,20,17,1,4,23,17,1,4,19,21,8,11,21,9,13,11,21,9,18,10,2,24,18,16,2,24,8,12,21,21,22,25,21,14,22,25,21,14,22,25,21,14,22,22
3,15,3,15,3,15,20,19,6,15,13,19,5,15,13,15,3,7,20,9,6,7,4,23,21,7,1,8,5,7,17,9,11,18,20,9,6,18,10,12,21,18,16,12,2,25,24,9,3,25,20,14,21,25,13,14,25,25,22,14,2,25,22,22
3,19,15,15,19,19,15,5,6,19,5,5,19,19,22,5,3,7,13,20,6,4,1,23,6,17,1,8,19,17,22,9,11,19,13,9,6,18,10,16,12,18,10,16,12,2,24,24,11,21,15,25,6,21,25,25,19,14,22,25,19,14,22,22
3,15,3,15,19,5,6,15,19,5,6,15,19,5,22,15,3,13,20,7,19,4,1,23,19,4,1,8,19,17,9,11,3,17,9,10,21,18,24,2,16,12,24,2,22,21,22,9,3,21,14,14,25,25,14,14,19,25,22,14,19,25,22,22
3,15,21,15,6,13,22,19,6,13,22,19,5,13,22,15,3,7,21,20,6,7,1,4,23,8,1,4,5,8,17,20,9,11,21,20,18,16,10,12,23,16,1,12,2,24,17,20,5,5,21,14,5,5,25,14,5,5,25,14,5,5,22,22
19,19,15,15,3,6,15,15,19,6,5,5,19,6,5,5,19,13,15,7,20,23,1,4,3,23,1,8,19,19,17,9,19,19,5,9,21,11,10,18,14,11,16,12,2,11,24,7,21,19,5,25,21,19,15,25,19,19,22,25,19,19,22,22
3,5,3,15,3,5,6,15,19,5,6,6,19,5,6,5,3,20,13,7,3,20,4,23,2,17,1,8,19,17,6,9,19,11,13,24,14,11,10,18,14,12,4,16,2,12,22,24,19,21,3,6,19,21,22,21,14,25,22,13,19,25,22,22
3,6,5,15,3,6,5,15,3,6,5,15,3,19,5,5,3,20,5,7,13,20,1,4,23,17,1,8,24,17,9,11,3,23,9,1,23,10,12,18,24,16,12,18,24,2,22,14,21,21,5,14,21,21,22,14,25,25,22,14,25,25,22,22
3,5,15,20,25,5,19,20,6,5,19,20,5,5,22,20,3,13,15,7,25,23,4,17,6,8,1,17,5,9,11,11,21,5,21,14,18,10,4,12,16,10,1,12,2,24,11,7,21,5,21,14,3,21,21,14,25,21,22,14,5,5,22,22
3,5,15,15,3,5,15,15,6,6,19,19,5,5,5,19,13,7,22,20,6,7,4,23,6,5,1,8,5,5,17,9,11,11,25,25,6,18,10,12,21,18,16,12,3,2,24,24,11,21,25,25,5,21,25,25,14,3,22,22,5,3,22,22
3,6,15,15,19,19,15,15,19,19,5,5,19,19,19,19,3,13,7,20,24,4,16,23,24,8,1,1,17,9,5,11,21,19,22,25,21,18,10,20,24,18,16,12,24,2,15,20,19,19,19,25,21,19,25,25,19,14,22,22,19,14,22,22
3,15,7,15,25,6,22,15,5,6,22,19,5,6,22,19,3,13,7,20,25,13,23,4,5,17,1,8,5,17,22,9,11,11,7,9,21,18,10,12,25,16,1,12,24,2,22,14,3,21,22,14,21,21,22,14,25,24,22,14,5,24,22,22
3,15,3,15,3,15,20,15,6,6,5,5,19,19,22,5,3,7,20,20,6,4,1,23,18,4,1,8,24,17,11,9,19,19,20,13,18,10,1,12,21,16,14,12,24,2,22,14,19,19,25,25,21,21,25,14,24,24,22,14,24,3,22,22
